date,lake,Tmin
01/01/2013,Chapala,13.7
01/01/2013,Amela,18.2
01/01/2013,Yuriria,6.8
01/01/2013,Zempoala,2.4
01/02/2013,Chapala,14.9
01/02/2013,Amela,16.6
01/02/2013,Yuriria,7.1
01/02/2013,Zempoala,1.9
01/03/2013,Chapala,14.5
01/03/2013,Amela,17.2
01/03/2013,Yuriria,7.6
01/03/2013,Zempoala,2.7
01/04/2013,Chapala,17
01/04/2013,Amela,17.4
01/04/2013,Yuriria,11.4
01/04/2013,Zempoala,4.6
01/05/2013,Chapala,18.1
01/05/2013,Amela,19.7
01/05/2013,Yuriria,13.3
01/05/2013,Zempoala,6
01/06/2013,Chapala,18.5
01/06/2013,Amela,22.9
01/06/2013,Yuriria,14.7
01/06/2013,Zempoala,7.1
01/07/2013,Chapala,17.8
01/07/2013,Amela,23.4
01/07/2013,Yuriria,14
01/07/2013,Zempoala,6.8
01/08/2013,Chapala,18
01/08/2013,Amela,22.3
01/08/2013,Yuriria,13.5
01/08/2013,Zempoala,7.8
01/09/2013,Chapala,18.2
01/09/2013,Amela,23.2
01/09/2013,Yuriria,14.3
01/09/2013,Zempoala,7.7
01/10/2013,Chapala,17.4
01/10/2013,Amela,23.2
01/10/2013,Yuriria,12.9
01/10/2013,Zempoala,7
01/11/2013,Chapala,14.9
01/11/2013,Amela,22.1
01/11/2013,Yuriria,9.1
01/11/2013,Zempoala,13.9
01/12/2013,Chapala,13.9
01/12/2013,Amela,20
01/12/2013,Yuriria,6.9
01/12/2013,Zempoala,5.1
01/01/2014,Chapala,12.7
01/01/2014,Amela,17.7
01/01/2014,Yuriria,5.5
01/01/2014,Zempoala,2.9
01/02/2014,Chapala,15
01/02/2014,Amela,18.6
01/02/2014,Yuriria,7.5
01/02/2014,Zempoala,4.2
01/03/2014,Chapala,15.8
01/03/2014,Amela,17.8
01/03/2014,Yuriria,9.2
01/03/2014,Zempoala,5.4
01/04/2014,Chapala,17.7
01/04/2014,Amela,20.5
01/04/2014,Yuriria,11.5
01/04/2014,Zempoala,7
01/05/2014,Chapala,18.3
01/05/2014,Amela,23.7
01/05/2014,Yuriria,13.4
01/05/2014,Zempoala,8
01/06/2014,Chapala,18.9
01/06/2014,Amela,25.2
01/06/2014,Yuriria,15.3
01/06/2014,Zempoala,9.8
01/07/2014,Chapala,17.7
01/07/2014,Amela,24.2
01/07/2014,Yuriria,14.1
01/07/2014,Zempoala,8.5
01/08/2014,Chapala,17.8
01/08/2014,Amela,23.4
01/08/2014,Yuriria,14.1
01/08/2014,Zempoala,8.7
01/09/2014,Chapala,17.7
01/09/2014,Amela,23.5
01/09/2014,Yuriria,14.1
01/09/2014,Zempoala,9
01/10/2014,Chapala,17.2
01/10/2014,Amela,24
01/10/2014,Yuriria,11.8
01/10/2014,Zempoala,8.2
01/11/2014,Chapala,14.5
01/11/2014,Amela,20.9
01/11/2014,Yuriria,8.5
01/11/2014,Zempoala,6.1
01/12/2014,Chapala,22
01/12/2014,Amela,32
01/12/2014,Yuriria,24.5
01/12/2014,Zempoala,16
01/01/2015,Chapala,14
01/01/2015,Amela,18.7
01/01/2015,Yuriria,7.3
01/01/2015,Zempoala,3.8
01/02/2015,Chapala,14
01/02/2015,Amela,17.9
01/02/2015,Yuriria,7.5
01/02/2015,Zempoala,4
01/03/2015,Chapala,14.7
01/03/2015,Amela,18
01/03/2015,Yuriria,9.5
01/03/2015,Zempoala,6.2
01/04/2015,Chapala,17.9
01/04/2015,Amela,19.7
01/04/2015,Yuriria,11.4
01/04/2015,Zempoala,7.3
01/05/2015,Chapala,18.6
01/05/2015,Amela,22.5
01/05/2015,Yuriria,13.1
01/05/2015,Zempoala,8.4
01/06/2015,Chapala,18.6
01/06/2015,Amela,24.5
01/06/2015,Yuriria,14.4
01/06/2015,Zempoala,9.2
01/07/2015,Chapala,17.7
01/07/2015,Amela,23.6
01/07/2015,Yuriria,13.7
01/07/2015,Zempoala,8.6
01/08/2015,Chapala,17.9
01/08/2015,Amela,24.2
01/08/2015,Yuriria,13
01/08/2015,Zempoala,8.7
01/09/2015,Chapala,18.5
01/09/2015,Amela,23.7
01/09/2015,Yuriria,14.2
01/09/2015,Zempoala,8.9
01/10/2015,Chapala,17.5
01/10/2015,Amela,24.1
01/10/2015,Yuriria,12.5
01/10/2015,Zempoala,8.2
01/11/2015,Chapala,17.2
01/11/2015,Amela,23.7
01/11/2015,Yuriria,10
01/11/2015,Zempoala,7.5
01/12/2015,Chapala,22.9
01/12/2015,Amela,33.3
01/12/2015,Yuriria,25.8
01/12/2015,Zempoala,17
01/01/2016,Chapala,11.6
01/01/2016,Amela,17.7
01/01/2016,Yuriria,5.4
01/01/2016,Zempoala,2.2
01/02/2016,Chapala,12.7
01/02/2016,Amela,18.4
01/02/2016,Yuriria,5
01/02/2016,Zempoala,2.4
01/03/2016,Chapala,14.2
01/03/2016,Amela,16.9
01/03/2016,Yuriria,9
01/03/2016,Zempoala,2.7
01/04/2016,Chapala,16.7
01/04/2016,Amela,18.6
01/04/2016,Yuriria,10.6
01/04/2016,Zempoala,4.2
01/05/2016,Chapala,18.7
01/05/2016,Amela,19.4
01/05/2016,Yuriria,14.2
